,word,word_freq
0,covid,108323
1,case,20194
2,coronavirus,14184
3,death,9849
4,people,9285
5,pandemic,8071
6,mask,6488
7,health,5227
8,need,4963
9,positive,4875
10,today,4718
11,time,4700
12,total,4455
13,test,4401
14,india,4358
15,like,4147
16,help,4110
17,vaccine,3933
18,trump,3785
19,school,3768
20,state,3725
21,number,3716
22,last,3576
23,realdonaldtrump,3560
24,world,3446
25,country,3376
26,update,3361
27,news,3358
28,many,3261
29,know,3255
30,report,3226
31,august,2961
32,first,2953
33,reported,2910
34,spread,2870
35,virus,2821
36,lockdown,2771
37,take,2769
38,even,2745
39,still,2704
40,year,2703
41,home,2695
42,life,2679
43,work,2648
44,week,2634
45,government,2620
46,make,2608
47,back,2596
48,tested,2559
49,testing,2515
50,patient,2482
51,good,2481
52,business,2454
53,american,2414
54,going,2366
55,dont,2356
56,would,2353
57,want,2329
58,daily,2321
59,global,2316
60,please,2308
61,hospital,2275
62,million,2252
63,risk,2216
64,child,2149
65,care,2143
66,read,2136
67,could,2136
68,confirmed,2082
69,think,2070
70,face,2057
71,safe,2028
72,public,2027
73,recovery,2024
74,since,2006
75,keep,2002
76,month,1985
77,family,1974
78,latest,1964
79,corona,1961
80,look,1959
81,rate,1953
82,right,1942
83,data,1940
84,hour,1896
85,wear,1895
86,july,1852
87,support,1849
88,community,1813
89,student,1792
90,thing,1777
91,every,1769
92,social,1739
93,died,1715
94,well,1703
95,said,1689
96,great,1685
97,impact,1664
98,response,1646
99,active,1639
100,crisis,1625
101,also,1614
102,stay,1611
103,infection,1608
104,must,1596
105,stop,1567
106,show,1561
107,live,1535
108,much,1521
109,around,1518
110,come,1513
111,another,1509
112,recovered,1489
113,worker,1463
114,really,1434
115,part,1429
116,fight,1421
117,plan,1413
118,wearing,1412
119,everyone,1367
120,symptom,1367
121,watch,1351
122,china,1339
123,free,1334
124,tally,1325
125,check,1320
126,rise,1318
127,minister,1311
128,find,1300
129,important,1277
130,president,1269
131,video,1265
132,study,1257
133,taking,1252
134,change,1247
135,spike,1239
136,working,1238
137,getting,1234
138,best,1228
139,record,1216
140,join,1215
141,person,1210
142,result,1207
143,medical,1203
144,made,1197
145,give,1197
146,call,1196
147,economy,1191
148,next,1188
149,share,1183
150,online,1176
151,doctor,1175
152,quarantine,1172
153,never,1161
154,service,1159
155,woman,1158
156,official,1158
157,county,1157
158,start,1149
159,protect,1143
160,open,1139
161,better,1136
162,city,1132
163,medium,1114
164,team,1108
165,hand,1107
166,high,1106
167,sign,1098
168,across,1093
169,outbreak,1092
170,situation,1082
171,without,1080
172,local,1075
173,hope,1071
174,thanks,1060
175,thank,1055
176,cant,1050
177,love,1040
178,tell,1038
179,america,1036
180,healthcare,1031
181,including,1023
182,national,1022
183,place,1018
184,alert,1016
185,post,1013
186,amid,1002
187,leader,1001
188,long,1000
189,company,997
190,food,997
191,friend,996
192,expert,990
193,toll,989
194,staff,974
195,russia,973
196,follow,972
197,research,969
198,member,967
199,travel,965
200,system,961
201,article,958
202,challenge,958
203,breaking,955
204,south,953
205,contact,950
206,done,948
207,real,947
208,anyone,944
209,sure,941
210,continue,937
211,safety,925
212,measure,909
213,feel,909
214,mean,905
215,lost,905
216,yesterday,901
217,full,900
218,economic,899
219,learn,896
220,morning,883
221,looking,880
222,away,879
223,disease,879
224,thought,878
225,ever,874
226,level,871
227,issue,871
228,already,869
229,education,868
230,govt,865
231,increase,865
232,distancing,863
233,using,859
234,highest,853
235,story,853
236,coronaviruspandemic,851
237,blood,846
238,odisha,844
239,talk,843
240,second,841
241,dead,841
242,infected,836
243,young,835
244,slow,831
245,question,830
246,someone,826
247,district,825
248,making,822
249,order,816
250,future,811
251,lakh,806
252,control,805
253,treatment,801
254,used,786
255,industry,784
256,remember,783
257,coming,779
258,florida,778
259,others,765
260,available,764
261,police,761
262,africa,760
263,plasma,755
264,group,752
265,three,752
266,information,744
267,together,741
268,hard,733
269,close,733
270,human,731
271,mark,731
272,trial,731
273,teacher,730
274,fact,724
275,money,721
276,happy,721
277,coronavirusupdate,711
278,discus,710
279,parent,710
280,always,709
281,wearamask,708
282,believe,707
283,office,707
284,cross,703
285,enough,703
286,class,701
287,return,700
288,market,695
289,webinar,693
290,early,690
291,found,688
292,employee,687
293,restriction,687
294,canada,686
295,sample,683
296,chief,682
297,thousand,680
298,among,680
299,relief,678
300,announced,676
301,worldwide,675
302,election,673
303,past,671
304,able,667
305,negative,667
306,might,666
307,least,665
308,identify,662
309,point,662
310,problem,661
311,current,655
312,something,654
313,australia,652
314,become,651
315,trying,651
316,doesnt,647
317,fear,647
318,recorded,642
319,effect,641
320,closed,641
321,saturday,637
322,university,637
323,despite,637
324,action,636
325,cause,636
326,area,635
327,youre,632
328,save,629
329,college,628
330,thats,626
331,according,623
332,visit,620
333,seen,620
334,understand,619
335,especially,616
336,little,613
337,likely,611
338,science,611
339,protest,608
340,house,608
341,different,608
342,youtube,608
343,small,607
344,normal,604
345,event,603
346,texas,600
347,reopening,599
348,link,597
349,party,596
350,emergency,596
351,thread,594
352,following,592
353,soon,591
354,single,589
355,everything,588
356,sooner,587
357,learning,586
358,policy,586
359,stand,584
360,affected,583
361,play,582
362,provide,577
363,updated,575
364,type,574
365,effort,573
366,sarscov,573
367,almost,572
368,international,572
369,game,570
370,hear,570
371,fall,570
372,population,569
373,nothing,568
374,bill,568
375,united,567
376,sick,567
377,reason,567
378,centre,566
379,transmission,565
380,singleday,565
381,opportunity,565
382,demand,565
383,sunday,565
384,season,563
385,weekend,562
386,access,562
387,friday,561
388,saying,558
389,prevent,557
390,experience,557
391,virtual,554
392,continues,554
393,guideline,554
394,rule,553
395,taken,552
396,effective,551
397,congress,548
398,dying,544
399,whole,544
400,listen,543
401,recent,542
402,living,542
403,scientist,542
404,interesting,538
405,citizen,536
406,step,536
407,nation,535
408,technology,535
409,reach,535
410,related,534
411,wave,530
412,line,528
413,customer,528
414,resident,527
415,nearly,527
416,decision,526
417,claim,525
418,given,525
419,selfreporting,523
420,potus,523
421,tomorrow,523
422,ready,519
423,left,518
424,lead,518
425,worst,514
426,vote,514
427,march,513
428,facility,513
429,conducted,512
430,healthy,511
431,actually,509
432,role,509
433,matter,509
434,ensure,506
435,head,506
436,program,505
437,list,504
438,kill,504
439,increased,502
440,helping,502
441,power,501
442,summer,501
443,till,501
444,offer,501
445,cure,501
446,count,500
447,fauci,500
448,phase,498
449,twitter,496
450,zealand,496
451,four,495
452,reporting,494
453,resource,494
454,digital,491
455,concern,491
456,republican,490
457,bringing,488
458,survey,488
459,strategy,488
460,ministry,488
461,reopen,486
462,hydroxychloroquine,486
463,seems,485
464,cost,484
465,rapid,484
466,black,483
467,critical,482
468,deal,481
469,tweet,480
470,development,479
471,true,478
472,meeting,475
473,fighting,475
474,project,475
475,blog,475
476,putin,475
477,indian,473
478,nurse,473
479,solution,471
480,idea,471
481,isnt,470
482,drug,469
483,essential,468
484,california,467
485,financial,466
486,source,465
487,hotel,465
488,detail,465
489,governor,464
490,told,464
491,forget,464
492,fatality,463
493,took,462
494,federal,462
495,major,461
496,heart,461
497,word,460
498,started,459
499,wish,459
500,deliver,459
501,night,458
502,fresh,458
503,maybe,458
504,focus,456
505,borisjohnson,456
506,evidence,456
507,sector,456
508,possible,456
509,monday,456
510,white,456
511,delhi,455
512,sport,454
513,advice,453
514,campaign,453
515,mind,450
516,truth,449
517,loss,449
518,trend,449
519,leadership,448
520,clinical,448
521,joebiden,447
522,fund,447
523,trust,446
524,move,445
525,needed,444
526,political,442
527,called,442
528,spreading,442
529,restaurant,442
530,supply,440
531,socialdistancing,439
532,meet,439
533,didnt,436
534,biggest,436
535,developed,436
536,body,435
537,higher,434
538,talking,432
539,growth,432
540,went,432
541,brazil,431
542,wait,430
543,practice,429
544,novel,428
545,course,428
546,shop,428
547,anything,428
548,cannot,426
549,democrat,424
550,finally,424
551,bring,424
552,view,423
553,youth,423
554,covering,422
555,series,421
556,mental,420
557,surge,420
558,center,419
559,brother,419
560,victoria,418
561,hold,417
562,fire,416
563,flight,414
564,send,414
565,break,414
566,wont,414
567,wrong,413
568,poor,413
569,border,412
570,chinese,410
571,book,409
572,killed,408
573,biden,408
574,benefit,407
575,else,407
576,special,407
577,based,406
578,within,406
579,coronainfoch,405
580,security,403
581,answer,403
582,water,402
583,wonder,402
584,along,402
585,lack,401
586,keeping,401
587,england,401
588,avoid,401
589,currently,400
590,rest,399
591,shut,398
592,billion,397
593,gone,397
594,cover,396
595,researcher,395
596,force,395
597,message,394
598,player,393
599,feeling,393
600,caused,393
601,figure,393
602,five,392
603,date,392
604,partner,392
605,unemployment,391
606,department,390
607,huge,389
608,whats,389
609,miss,388
610,serious,388
611,average,387
612,immunity,387
613,loved,386
614,coronavirusupdates,385
615,outside,385
616,mass,384
617,increasing,384
618,ahead,384
619,street,384
620,covidiots,383
621,instead,383
622,seeing,383
623,copy,382
624,created,382
625,status,382
626,pakistan,382
627,organization,381
628,director,381
629,dear,380
630,kind,379
631,exam,379
632,telangana,379
633,behind,377
634,changed,376
635,football,375
636,deadly,375
637,clear,375
638,term,372
639,narendramodi,372
640,church,371
641,proud,370
642,authority,369
643,karnataka,369
644,staysafe,368
645,spain,367
646,management,367
647,bank,366
648,reduce,366
649,private,366
650,distance,366
651,potential,366
652,half,366
653,chance,365
654,weve,364
655,happening,364
656,protection,364
657,component,363
658,nigeria,363
659,pradesh,363
660,minute,363
661,site,363
662,administration,362
663,covidー,361
664,create,360
665,remote,360
666,condition,358
667,asking,357
668,paper,356
669,thinking,355
670,worse,355
671,isolation,355
672,immune,355
673,wash,354
674,came,354
675,interview,354
676,lesson,354
677,general,353
678,rising,353
679,amazing,353
680,forced,353
681,piece,352
682,podcast,351
683,europe,351
684,maharashtra,350
685,showing,350
686,russian,349
687,sale,348
688,opening,348
689,building,347
690,common,347
691,individual,347
692,review,346
693,begin,346
694,north,345
695,vulnerable,345
696,price,345
697,leave,344
698,yearold,343
699,amount,343
700,simple,342
701,failure,342
702,starting,342
703,remain,342
704,former,342
705,easy,341
706,episode,340
707,giving,340
708,threat,340
709,recently,340
710,whether,339
711,running,338
712,blame,338
713,activity,337
714,watching,337
715,asked,336
716,complete,336
717,georgia,336
718,allowed,335
719,info,335
720,recover,334
721,waiting,334
722,register,334
723,victim,334
724,discharged,334
725,suffering,333
726,facing,333
727,york,333
728,strong,333
729,website,332
730,cancer,331
731,history,330
732,forward,330
733,society,329
734,daughter,329
735,sharing,329
736,battle,328
737,reminder,328
738,union,328
739,professional,328
740,space,327
741,hoax,326
742,page,326
743,tech,325
744,heard,325
745,store,325
746,stupid,324
747,antibody,324
748,front,323
749,impacted,323
750,ireland,322
751,address,322
752,light,322
753,seriously,322
754,tracing,321
755,treat,321
756,tonight,321
757,reality,320
758,worth,320
759,sense,319
760,release,319
761,playing,319
762,push,319
763,difficult,319
764,region,319
765,insurance,318
766,adult,318
767,track,318
768,insight,318
769,germany,318
770,product,317
771,funding,316
772,facemask,316
773,model,315
774,conference,315
775,leading,315
776,agree,314
777,worry,314
778,facebook,313
779,moment,312
780,physical,312
781,launch,312
782,passed,312
783,tuesday,310
784,girl,309
785,wake,309
786,rajasthan,308
787,registered,308
788,music,308
789,nursing,307
790,theyre,307
791,fuck,307
792,holiday,307
793,willing,307
794,approach,307
795,whitehouse,306
796,trumpvirus,306
797,chart,306
798,france,306
799,september,306
800,killing,306
801,happen,306
802,large,306
803,affect,306
804,though,306
805,drop,306
806,training,305
807,turn,305
808,side,305
809,thailand,305
810,officer,304
811,guidance,303
812,town,303
813,probably,303
814,stage,303
815,senior,303
816,thursday,303
817,korea,302
818,planning,302
819,mandatory,301
820,scam,301
821,handling,301
822,regarding,300
823,shit,299
824,allow,299
825,discussion,299
826,additional,299
827,volunteer,297
828,released,297
829,stress,297
830,press,297
831,failed,297
832,name,294
833,welcome,294
834,dangerous,293
835,catch,293
836,artist,293
837,john,292
838,park,292
839,session,292
840,statistic,291
841,brought,291
842,attention,291
843,finding,291
844,responsible,290
845,account,290
846,court,290
847,folk,290
848,excellent,289
849,phone,289
850,tool,289
851,beat,289
852,request,289
853,nature,288
854,short,288
855,entire,288
856,personal,287
857,frontline,287
858,calling,287
859,prayer,286
860,severe,286
861,politics,286
862,imagine,285
863,nice,285
864,photo,284
865,download,284
866,consider,284
867,retweet,283
868,longer,283
869,alone,282
870,click,281
871,massive,281
872,several,281
873,held,281
874,importance,281
875,donald,280
876,clean,279
877,supporting,279
878,workplace,278
879,hospitalization,278
880,late,278
881,putting,278
882,fake,277
883,include,277
884,philippine,277
885,auspol,277
886,sending,276
887,disaster,275
888,guess,275
889,race,275
890,maga,274
891,grant,272
892,“the,271
893,example,271
894,london,271
895,analysis,271
896,warning,270
897,third,270
898,australian,270
899,hundred,269
900,conversation,269
901,struggling,269
902,italy,268
903,mother,268
904,icymi,268
905,zero,268
906,prevention,268
907,expected,267
908,published,267
909,note,267
910,guide,267
911,announces,267
912,quick,266
913,hell,266
914,amitshah,265
915,fine,265
916,known,265
917,opinion,265
918,mortality,264
919,tourism,264
920,recession,264
921,stayhome,263
922,beyond,263
923,towards,262
924,johnson,262
925,arent,261
926,baby,260
927,african,260
928,consumer,260
929,happened,260
930,cdcgov,260
931,passenger,259
932,gonna,259
933,road,258
934,innovation,258
935,sorry,258
936,drive,257
937,camp,257
938,senate,257
939,returning,256
940,reading,256
941,canadian,256
942,june,256
943,package,255
944,marketing,255
945,chain,254
946,growing,254
947,near,254
948,mentalhealth,253
949,beach,253
950,mumbai,253
951,covidindia,253
952,april,252
953,attack,252
954,japan,252
955,period,251
956,comment,251
957,west,251
958,stock,251
959,expect,251
960,providing,250
961,priority,249
962,difference,248
963,exposed,248
964,mayor,248
965,largest,248
966,gathering,248
967,fucking,248
968,beginning,247
969,maskup,247
970,highlight,247
971,significant,247
972,politician,246
973,sound,246
974,aged,246
975,colleague,246
976,hate,245
977,safely,245
978,delivery,245
979,success,245
980,medicine,245
981,viral,245
982,however,245
983,admitted,245
984,middle,245
985,senatemajldr,245
986,prime,245
987,protecting,244
988,present,244
989,positivity,244
990,explain,244
991,shopping,243
992,airport,243
993,realdonaldtrumps,243
994,decided,243
995,investment,242
996,required,242
997,combat,242
998,newzealand,242
999,couple,241
